county,apn,acres,alim_yil,alim_ay,alim_fiyat,satim_yil,satim_ay,satim_fiyat,carpan,ay_fark
Charlotte,412132461002,0.542,2024,03,58000,2024,12,54500,0.94,9
Charlotte,402334429001,0.175,2024,03,16000,2024,08,15000,0.94,5
Charlotte,412303132002,0.203,2024,04,11900,2025,01,11000,0.92,9
Citrus,18E17S100200  13410 0130,0.285,2024,04,16500,2024,10,15000,0.91,6
Citrus,18E17S100060  05580 0100,0.230,2024,08,17900,2024,11,16000,0.89,3
Alachua,19963-028-000,3.320,2024,09,80000,2024,11,70000,0.88,2
Broward,504217010012,0.225,2024,01,305000,2024,12,260000,0.85,11
Alachua,19861-001-003,7.710,2024,07,95000,2024,08,80000,0.84,1
Broward,484330373900,0.010,2024,03,175800,2025,04,137500,0.78,13
Brevard,28 3626-KR-2505-20,0.230,2024,08,52000,2024,09,40000,0.77,1
Bay,16288010000,0.188,2024,03,12000,2024,05,9000,0.75,2
Citrus,18E17S100210  14290 0070,0.501,2024,06,36000,2024,07,25000,0.69,1
Bay,35252010000,0.575,2024,05,700000,2024,10,400000,0.57,5
Bay,08198010000,0.384,2025,02,65000,2025,05,30000,0.46,3
Brevard,23 3630-BI-V.5-2,0.160,2024,06,59000,2024,12,14000,0.24,6
