eyalet,county,bant,satis_adedi,medyan_fiyat,medyan_usd_donum
FL,Franklin,5+ ac,12,137500,9550
FL,Gilchrist,0-0,25 ac,11,22500,107150
FL,Glades,5+ ac,11,265000,21250
FL,Baker,1,5-5 ac,11,140000,32000
FL,Bradford,0,25-0,5 ac,11,16500,35107
FL,Holmes,0-0,25 ac,11,4500,20455
FL,Jefferson,1,5-5 ac,11,44000,15000
FL,Baker,5+ ac,10,135000,15647
FL,Union,1,5-5 ac,10,42900,14424
FL,Glades,1,5-5 ac,9,70000,28436
FL,Calhoun,1,5-5 ac,9,28000,8977
FL,Liberty,0,5-1,5 ac,9,16000,16500
FL,Madison,0,25-0,5 ac,8,19500,60081
